CH1,CH10
120.056,-0.0764465
119.995,-0.0764465
119.965,-0.0741577
119.904,-0.0724792
119.873,-0.0701904
119.812,-0.067749
119.812,-0.065155
119.72,-0.0628662
119.69,-0.0601196
119.598,-0.0593567
119.537,-0.0579834
119.537,-0.0569153
119.446,-0.0590515
119.324,-0.0593567
119.202,-0.0592041
119.019,-0.0596619
118.988,-0.0596619
118.805,-0.0596619
118.774,-0.0593567
118.744,-0.0595093
118.683,-0.057373
118.591,-0.0569153
118.591,-0.0546265
118.5,-0.0523376
118.378,-0.050354
118.347,-0.0469971
118.256,-0.0430298
118.225,-0.040741
118.195,-0.0375366
118.164,-0.0335693
118.072,-0.0325012
118.103,-0.0306702
118.072,-0.0302124
118.011,-0.0300598
118.011,-0.0299072
118.011,-0.030365
117.981,-0.0315857
118.042,-0.0323486
118.042,-0.0326538
117.981,-0.0323486
118.072,-0.032196
118.103,-0.0328064
118.042,-0.0325012
117.889,-0.0326538
117.706,-0.0326538
117.615,-0.032959
117.493,-0.0346375
117.432,-0.0364685
117.31,-0.0372314
117.31,-0.0395203
117.249,-0.0398254
117.004,-0.039978
116.516,-0.0398254
116.028,-0.0396729
115.631,-0.0376892
115.265,-0.037384
114.868,-0.0375366
114.716,-0.0354004
114.441,-0.0350952
114.258,-0.0326538
114.166,-0.0309753
114.014,-0.0297546
113.77,-0.0302124
113.525,-0.030365
113.373,-0.030365
113.22,-0.0312805
113.19,-0.0340271
113.007,-0.0349426
112.915,-0.0370789
112.915,-0.0372314
112.793,-0.0375366
112.427,-0.0350952
111.481,-0.0335693
110.382,-0.0311279
109.436,-0.0283813
108.582,-0.0238037
107.941,-0.0210571
107.422,-0.0161743
106.903,-0.0128174
106.567,-0.0105286
106.262,-0.00793457
105.774,-0.00640869
104.797,-0.00549316
103.851,-0.00549316
102.844,-0.00473022
102.02,-0.00564575
101.41,-0.00534058
100.861,-0.00610352
100.403,-0.00808716
100.128,-0.0102234
99.823,-0.0119019
99.5483,-0.0143433
99.2737,-0.0169373
98.8769,-0.0178528
98.6938,-0.0175476
98.3581,-0.0175476
98.2361,-0.0178528
98.0224,-0.0161743
97.9309,-0.015564
97.7783,-0.0135803
97.7173,-0.0125122
97.6257,-0.0105286
97.4731,-0.0102234
97.2595,-0.00808716
97.0764,-0.00579834
96.9543,-0.00411987
96.8628,-0.000915527
96.8017,0.00320435
96.7712,0.00839233
96.7407,0.0131226
96.6186,0.0192261
96.405,0.0253296
96.0998,0.0323486
95.7336,0.0396729
95.4284,0.0444031
95.0622,0.0491333
94.8486,0.0543213
94.7571,0.0588989
94.6045,0.0622559
94.4214,0.0650024
94.2688,0.0674438
94.1162,0.0672913
93.8415,0.0674438
93.5058,0.0648499
93.2312,0.0627136
93.0176,0.0601196
92.7429,0.0576782
92.5903,0.0538635
92.4988,0.0511169
92.3462,0.0479126
92.2851,0.0454712
92.2546,0.0430298
92.0715,0.0430298
92.041,0.0448608
91.9494,0.0491333
91.8274,0.0543213
91.8274,0.0613403
91.7663,0.0689697
91.7358,0.0775146
91.6443,0.0846863
91.6748,0.0932312
